rok;ms;dz;godz;fco2_MQ;fco2_HQ;fco2_raw;glwody;T50cm;T2m;Kd;Ku;Ld;Lu;ppp;v;vdir;Tgrunt;vwc;PARd;PARu
2013;1;2;16.5;;;32.36;4.8;-0.9;-0.6;0.0;1.5;283.8;324.5;1003.0;1.9;216.6;0.6;0.785;0.0;0.0
2013;1;2;17.5;;;4.7;5.0;-0.9;-0.6;0.0;1.5;284.6;324.4;1003.4;2.4;221.3;0.6;0.785;0.0;0.0
2013;1;2;18.5;;;-13.57;4.8;0.0;0.1;0.0;0.7;285.4;324.4;1003.8;2.8;222.8;0.6;0.785;0.0;0.0
2013;1;2;19.5;0.01;;0.01;4.9;0.9;0.9;0.0;1.0;286.2;324.4;1003.9;3.4;221.1;0.6;0.785;0.0;0.0
2013;1;2;20.5;0.03;;0.03;4.6;1.2;1.3;0.0;0.3;286.9;324.3;1004.0;3.7;220.9;0.6;0.785;0.0;0.0
2013;1;2;21.5;0.01;;0.01;4.6;1.4;1.5;0.0;0.2;287.7;324.3;1004.2;3.4;228.0;0.6;0.785;0.0;0.0
2013;1;2;22.5;0.09;;0.09;4.8;1.5;1.7;0.0;0.1;288.5;324.3;1004.2;3.9;224.8;0.6;0.785;0.0;0.0
2013;1;2;23.5;;;0.42;5.0;1.4;1.6;0.0;0.3;289.3;324.2;1004.4;3.9;231.1;0.6;0.785;0.0;0.0
2013;1;3;0.5;-2.86;;-2.86;4.9;1.4;1.6;0.0;0.4;290.1;324.2;1004.6;3.8;234.5;0.6;0.785;0.0;0.0
2013;1;3;1.5;;;-2.05;4.8;1.2;1.4;0.0;0.6;290.8;324.2;1004.7;3.4;227.6;0.6;0.785;0.0;0.0
2013;1;3;2.5;;;-1.95;4.8;1.2;1.3;0.0;0.6;291.6;324.2;1004.9;3.5;227.1;0.6;0.785;0.0;0.0
2013;1;3;3.5;-0.34;;-0.34;4.9;1.2;1.3;0.0;0.6;292.4;324.1;1004.7;4.2;232.1;0.6;0.785;0.0;0.0
2013;1;3;4.5;;;-3.48;5.4;1.3;1.4;0.0;0.4;293.2;324.1;1004.5;4.2;233.8;0.6;0.785;0.0;0.0
2013;1;3;5.5;;;-1.57;5.1;1.3;1.4;0.0;0.4;293.9;324.1;1004.2;4.4;237.9;0.6;0.785;0.0;0.0
2013;1;3;6.5;;;-1.47;5.2;1.3;1.5;0.0;0.3;294.7;324.0;1004.0;4.2;233.3;0.6;0.786;0.0;0.0
2013;1;3;7.5;;;1.88;5.1;1.3;1.4;0.7;0.7;295.5;324.0;1004.0;4.2;230.1;0.6;0.786;2.0;0.0
2013;1;3;8.5;;;-0.41;5.3;1.5;1.6;22.6;3.0;296.3;324.0;1003.7;4.6;229.7;0.6;0.786;45.8;3.5
2013;1;3;9.5;;;-0.51;5.3;1.9;1.9;36.9;4.0;297.0;323.9;1003.2;4.8;226.4;0.6;0.786;76.2;6.0
2013;1;3;10.5;-0.06;;-0.06;5.4;2.1;2.2;36.1;3.9;297.8;323.9;1002.5;4.9;223.5;0.6;0.786;77.9;6.1
2013;1;3;11.5;;;5.47;5.8;2.3;2.3;34.4;3.4;298.6;323.9;1001.7;5.4;226.2;0.6;0.786;77.4;5.9
2013;1;3;12.5;;;-2.24;5.6;2.2;2.3;41.7;4.1;299.4;323.8;1000.8;5.3;224.7;0.6;0.786;91.6;6.8
2013;1;3;13.5;;;17.49;6.0;1.6;1.7;22.3;2.0;300.2;323.8;999.8;4.7;214.9;0.6;0.786;48.7;3.4
2013;1;3;14.5;;;-0.25;5.8;1.0;1.1;8.2;0.6;300.9;323.8;998.9;4.6;216.5;0.6;0.786;17.5;0.9
2013;1;3;15.5;-3.31;;-3.31;6.1;0.8;0.8;1.0;0.0;301.7;323.7;998.1;4.9;218.8;0.6;0.786;2.1;0.0
2013;1;3;16.5;;;8.36;6.4;0.5;0.5;0.0;0.0;302.5;323.7;996.9;4.8;217.9;0.6;0.786;0.0;0.0
2013;1;3;17.5;;;11.87;6.6;0.6;0.6;0.0;0.0;303.3;323.7;995.7;4.8;223.0;0.6;0.786;0.0;0.0
2013;1;3;18.5;;;-0.08;6.4;1.3;1.4;0.1;0.0;304.0;323.7;994.6;5.2;224.7;0.6;0.786;0.0;0.0
2013;1;3;19.5;;;-4.71;6.2;2.2;2.3;0.1;0.0;304.8;323.6;993.9;4.6;232.0;0.6;0.786;0.0;0.0
2013;1;3;20.5;;;5.47;6.1;3.1;3.2;0.1;0.0;305.6;323.6;993.3;5.3;238.3;0.6;0.786;0.0;0.0
2013;1;3;21.5;-0.86;;-0.86;5.8;3.7;3.9;0.0;0.0;306.4;323.6;993.2;5.0;249.0;0.6;0.786;0.0;0.0
2013;1;3;22.5;;;-3.76;5.7;3.6;3.9;0.0;0.1;307.1;323.5;993.1;4.8;252.6;0.6;0.786;0.0;0.0
2013;1;3;23.5;;;-1.16;5.7;3.6;3.9;0.0;0.0;307.9;323.5;993.1;5.0;264.8;0.6;0.787;0.0;0.0
2013;1;4;0.5;;;7.16;5.5;3.5;3.8;0.1;0.0;308.7;323.5;993.2;5.3;271.9;0.6;0.787;0.0;0.0
2013;1;4;1.5;;;-7.3;5.5;3.4;3.7;0.2;0.0;309.5;323.4;994.0;5.6;277.4;0.6;0.788;0.0;0.0
2013;1;4;2.5;;;-5.63;5.1;3.5;3.8;0.2;0.0;310.3;323.4;994.5;5.6;278.0;0.6;0.789;0.0;0.0
2013;1;4;3.5;-0.42;;-0.42;5.5;3.4;3.7;0.3;0.0;311.0;323.4;994.8;5.4;277.7;0.6;0.79;0.0;0.0
2013;1;4;4.5;-0.88;;-0.88;5.3;3.4;3.6;0.2;0.0;311.8;323.3;995.5;6.1;284.8;0.7;0.79;0.0;0.0
